"odata","","","","",""
atm,0,1.0094,100940,0.000449,44.9
0,0,1.01258,101258,0.00364,364
100,6.2876,1.018682,101868.2,0.009743,974.3
200,12.5752,1.02475,102475,0.01588,1588
300,18.8628,1.030914,103091.4,0.022072,2207.2
400,25.1504,1.037196,103719.6,0.028357,2835.7
500,31.438,1.043444,104344.4,0.034535,3453.5
600,37.7256,1.049658,104965.8,0.04075,4075
700,44.0132,1.055742,105574.2,0.046951,4695.1
800,50.3008,1.061862,106186.2,0.053119,5311.9
900,56.5884,1.067932,106793.2,0.059251,5925.1
1000,62.876,1.074086,107408.6,0.06539,6539
1100,69.1636,1.08011,108011,0.071506,7150.6
1200,75.4512,1.08623,108623,0.077642,7764.2
1300,81.7388,1.09229,109229,0.083751,8375.1
1400,88.0264,1.098436,109843.6,0.089893,8989.3
1500,94.314,1.104692,110469.2,0.09602,9602