f,R,R_rav
0,34.1584,34.159
0.05,34.1695,34.1832
0.1,34.1844,34.1973
0.15,34.1997,34.2102
0.2,34.2135,34.2244
0.25,34.2275,34.2385
0.3,34.2545,34.2517
0.35,34.2692,34.2668
0.4,34.282,34.2809
0.45,34.2965,34.2943
0.5,34.3105,34.308
0.55,34.3251,34.3228
0.6,34.3388,34.3367
0.65,34.3531,34.3511
0.7,34.3684,34.3671
0.75,34.3833,34.382
0.8,34.3996,34.3996
-0.05,34.1584,34.159
-0.1,34.1423,34.1455
-0.15,34.1265,34.129
-0.2,34.1102,34.1135
-0.25,34.0947,34.0979
-0.3,34.0791,34.0823
-0.35,34.0632,34.0682
-0.4,34.0481,34.0533
-0.45,34.0342,34.0381
-0.5,34.0193,34.023
-0.55,34.004,34.0067
-0.6,33.986,33.9903
-0.65,33.971,33.9736
-0.7,33.9548,33.9569
-0.75,33.9393,33.9408
-0.8,33.9242,33.925
,,